Title,Company,Location,Type,Level,YearsExp,Country,Skills
Magento Developer,Comfort Egypt, Nasr City,Freelance / Project,Experienced,3-5 Yrs of Exp,Cairo,"Communication, XML, English, Software Development, Information Technology (IT), Software Engineering, javaScript"
Magento Development Consultant,Comfort Egypt, Nasr City,Freelance / Project,Manager,10-10 Yrs of Exp,Cairo,"Communication, XML, English, Software Development, Information Technology (IT), Software Engineering, javaScript, HTML"
Arabic Content Writer,Visit Ventures, Nozha,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Marketing, Social Media, SEO, Bloggers, Vloggers, Content Writing, Arabic Content, Creative/Design/Art, Writing/Editorial"
Project Manager,LxT, Mohandessin,Full Time,Manager,5+ Yrs of Exp,Giza,"Project Manager, SQL, Project/Program Management"
Senior SEO Specialist,Onecard, Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Digital Marketing, E-marketing, SEO Content, Writing Skills, Writing/Editorial, Marketing/PR/Advertising, Media/Journalism/Publishing"
Senior Property Consultant,property today egypt, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Target, Sales Skills, English, Sales/Retail"
Senior Business Developer,Infinity Business Solutions, Heliopolis,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Electrical Power Engineering, Marketing, Market Research, Business Development"
IT Specialist,El Mansour Development, Mokattam,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, DNS, Installation, Security, OS, Active Directory, Maintenance, Computer Engineering"
Document Controller,"THE Architects, Planners & Civil Engineers Consultancy Firm", Mohandessin,Full Time,Experienced,5-10 Yrs of Exp,Giza,"Document Controller, English, Document Management, Administration"
Marketing Executive,Unicity, New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Market Research, Real Estate, Social Media, English, Digital Marketing, E-marketing, Marketing/PR/Advertising"
Frontend Web Developer,Art dimension, Dokki,Full Time,Experienced,3+ Yrs of Exp,Giza,"Software Development, HTML5, javaScript, Computer Science, Information Technology (IT), jQuery, AJAX, SASS, CSS3, AngularJS"
Sales Manager - Real Estate,Unicity, New Cairo,Full Time,Manager,7+ Yrs of Exp,Cairo,"Sales Target, Sales Skills, Communication, Brokerage, Customer Service, English, Real Estate Sales, Property Consultant, Sales/Retail"
Sales Supervisor,New Ega Electrical Industries, Downtown,Full Time,Manager,2-4 Yrs of Exp,Cairo,"Adequate Guaranty, Sales Skills, Sales/Retail"
Senior Security Specialist,700 apps, Mohandessin,Full Time,Experienced,8+ Yrs of Exp,Giza,"Information Technology (IT), Security Management, Ethical Hacker, Web Application Penetration Tester, Computer Science, Computer Engineering"
Admin Assistant,New Ega Electrical Industries, Downtown,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, English, Administration"
Senior iOS Mobile Developer,infasme.com, Heliopolis,Full Time,Experienced,5-6 Yrs of Exp,Cairo,"Information Technology (IT), Software Development, iOS, UI, React, Design, Angular, Leadership, Travel"
Experienced SharePoint Developer,infasme.com, Heliopolis,Full Time,Experienced,6-8 Yrs of Exp,Cairo,"SharePoint, PowerShell, Microsoft Dynamics CRM, Software Development, Nintex Workflow, IT/Software Development, Engineering - Telecom/Technology"
Telesales Service Advisor,Alternative Education, Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Telesales, Indoor Sales, Phone Sales, Telemarketing, Sales Skills, Call Center, Customer Service, Customer Care, Customer Support"
Digital Marketing Specialist,SMART 3DP, Sheikh Zayed,Full Time,Experienced,2+ Yrs of Exp,Giza,"Social Media, E-marketing, Digital Marketing, Campaigns, Creative/Design/Art, Marketing/PR/Advertising, Media/Journalism/Publishing"
Full Stack .Net Team Leader,infasme.com, Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Computer Science, Software Development, .NET, MVC, C#, Azure, Design, AWS, SQL Server, IT/Software Development"
Medical Sales Representative,SMART 3DP, Sheikh Zayed,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Medical Sales Representative, Dental, Sales Skills, Medical/Healthcare, Sales/Retail, Pharmaceutical"
Sales Admin,Target For Property, Maadi,Full Time,Experienced,2-7 Yrs of Exp,Cairo,"Administration, Sales Skills, MS Office, Communication, Excel, Resale, Cold Calls, Brokerage Real Estate, Administration"
HR Manager,arkandev, New Cairo,Full Time,Manager,7+ Yrs of Exp,Cairo,"HR, Human Resources (HR), Microsoft Office, Personnel, Performance Management, Business Administration, English, Labor Relations"
Odoo Implementer,E3mel Business for Financial & Managerial Consultancy, Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"ERP, Odoo, Computer Science, Business Administration, Customer Service, Customer Support, Customer Care, Installation"
Sales Representative,Alternative Education, Mansoura,Full Time,Entry Level,1-3 Yrs of Exp,Dakahlia,"Sales Skills, Customer Service, English, Sales Target, Communication, Selling Skills, Arabic, Marketing, Customer Service/Support"
Foreign Procurement Specialist - Alexandria,Confidential, Bourj Alarab,Full Time,Experienced,2-5 Yrs of Exp,Alexandria,"Purchasing, Logistics, Supply Chain, Computer Skills, English, Microsoft Office, Logistics/Supply Chain, Purchasing/Procurement"
Senior Graphic Designer,E3mel Business for Financial & Managerial Consultancy, Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Graphic Designer, Design Tools, Image Design, Adobe Illustrator, Creative/Design/Art, Marketing/PR/Advertising"
iOS Developer,Korashi Group, 6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Information Technology (IT), Software Engineering, Swift, APIs, Objective-C, iOS, IT/Software Development"
Sales Supervisor - Minya,OPPO Egypt, Menia,Full Time,Manager,2-6 Yrs of Exp,Minya,"Customer Service, Sales Skills, English, Retail, Sales Supervisor, Sales/Retail"
Senior Accountant,Engosoft, Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Accounting, Finance, Financial Analysis, Financial Management, Excel, Power Point, English, Accounting/Finance"
Structural Design Engineer,Edges designs, Nasr City,Part Time,Experienced,3-6 Yrs of Exp,Cairo,"Structural, Civil Engineering, AutoCAD, Engineering - Construction/Civil/Architecture, Creative/Design/Art"
Outside Sales Representative,Korashi Group, 6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Outside Sales, Pharmacy, Medical Sales, Business Development, Medical/Healthcare, Sales/Retail"
English Instructor For Teens (October / Zayed),E-Planet, 6th of October,Part Time,Entry Level,1+ Yrs of Exp,Giza,"Teaching, Education, TEFL, TESOL, TKT, Linguistics, English Literature, Education/Teaching, Training/Instructor"
Junior Geomatics Engineer,MEEG, Heliopolis,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"3D Modelling, CAD, Civil Engineering, BIM, Geomatics, Engineering - Construction/Civil/Architecture"
Sales Manager - Real Estate,Concept Property, Sheikh Zayed,Full Time,Manager,8-10 Yrs of Exp,Giza,"Sales Skills, Sales Target, Real Estate Sales, CRM, Communication, MS Office, Sales/Retail"
Business Development Consultant,Smart GYM, Nasr City,Full Time,Manager,3+ Yrs of Exp,Cairo,"Business Administration, Business Development, Sales Skills, Sales Target, Customer Support, Negotiation, Management, Digital Marketing"
Indirect Sales Specialist - Real Estate,Oscar Developments, New Cairo,Full Time,Entry Level,1-7 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Customer Care, Communication Skills, English, Business Development"
Sales Agent - Real Estate,Concept Property, Sheikh Zayed,Full Time,Entry Level,1-5 Yrs of Exp,Giza,"Sales Skills, Sales Target, Communication, English, Sales/Retail"
Senior Mechanical Engineer - Monufya,Dakahlia Group, Alsadat City,Full Time,Manager,4-7 Yrs of Exp,Monufya,"Mechanical Engineering, Maintenance, Budgeting, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
HR Specialist,Devera Developments, New Cairo,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"HR Specialist, Recruitment, Screening, Interviewing, Payroll, Personnel, Microsoft Office, HR, HR system, Human Resources"
Full Stack WordPress Web Developer,Infinity Business Solutions, Dokki,Full Time,Experienced,4-6 Yrs of Exp,Giza,"Computer Science, Software Development, javaScript, PHP, Web Development, jQuery, HTML5, CSS3, JSON, Wordpress"
Sales Team Leader - Real Estate,Concept Property, Sheikh Zayed,Full Time,Manager,5-7 Yrs of Exp,Giza,"Sales Skills, Sales Target, Presentation Skills, Communication, Leadership Skills, Management, Sales/Retail"
Accountant,Orthomed E, 6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Accounting, Financial Analysis, Financial Management, Accounting/Finance"
Social Media Specialist,Infinity Business Solutions, Dokki,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Digital Marketing, Online Marketing, SEO, English, Google Adwords, Design, Campaigns, Social Media Marketing, PPC, CMS"
Electrical Communications Engineer - Technical...,Access Technology Solutions - ATS, Smouha,Full Time,Entry Level,0-3 Yrs of Exp,Alexandria,"AutoCAD, Microsoft Office, English, Electrical Engineering, Communication, CCTV, Light Current, Technical Office, Site Engineer"
Personal Trainer - Fitness Center,Smart GYM, Heliopolis,Full Time,Part Time,2+ Yrs of Exp,Cairo,"8 Vacancies, Training, Personal Trainer, Fitness Trainer, CFT, PT, Physical Education, Sports and Leisure"
Office Manager,Confidential, Cairo,Full Time,Experienced,4-8 Yrs of Exp,Egypt,"Secretary, Office Management, English, Sales, Business Administration, Marketing, MS Office, Communication, Administration"
Cashier,Academic Bookshop, Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Customer Service, Customer Care, Customer Support, Cashier, Commerce, Business, Accounting/Finance"
Agriculture Biotechnologist Internship,Egyptian French Company for Plants Tissue Culture S.A.E, Obour City,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Plant Tissue Culture, Biotechnology, Micropropagation, Date Palm, Plant Science, Somatic Embryogenesis, Organogenesis, Potatoes"
Purchasing Manager (Hotels) - Alexandria,Paradise Inn Hotels & Resorts, Mahta Alraml,Full Time,Manager,10+ Yrs of Exp,Alexandria,"Procurement, Supply Chain, Logistics, Business Administration, Sourcing Management, Vendor Management, Hotels, Hospitality"
Executive Chef (Egyptian or Foreigner) -...,Paradise Inn Hotels & Resorts, Mahta Alraml,Full Time,Manager,12+ Yrs of Exp,Alexandria,"Hotels, Hospitality, Food Science, Culinary Science, Microsoft Office, POS, Restaurant Management Software, Kitchen Management, Computer Skills"
Personal Assistant to Chairman - Alexandria,Paradise Inn Hotels & Resorts, Mahta Alraml,Full Time,Experienced,7+ Yrs of Exp,Alexandria,"Microsoft Office, Office Management, Admin Assistant, Business Administration, Accounting, ERP, Back Office, Hotel, MS Office"
Affiliate Marketer - مسوق بالعمولة,Otlob Ngelak, 6th of October,Work From Home,Entry Level,null Yrs of Exp,Giza,"E-marketing, Social Media, Digital Marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Indoor Sales Representative - Alexandria,OPPO Egypt, Alexandria,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Males Only, Sales Skills, Indoor Sales, English, Sales Target, MS Office, Computer Skills, Communication Skills, Sales/Retail"
Graphic Designer,Maalem-Group, New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Graphic Design, Adobe Illustrator, Media, Motion Graphics, Animation, HTML, Creative/Design/Art, Media/Journalism/Publishing"
Sales Executive - Real-Estate,One Gate Real Estate, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Target, Sales Skills, Property Consultant, Sales/Retail"
Marketing Manager - Real Estate,Confidential, New Cairo,Full Time,Manager,8-12 Yrs of Exp,Cairo,"Real Estate Marketing, Marketing Campaigns, Social Media, Digital Marketing, Advertising, PR, Marketing/PR/Advertising"
Accountant,Confidential, 10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Sharqia,"Manufacturing, Commerce, Financial Analysis, Finance, Accounting/Finance"
Senior Mechanical Technical Office Engineer,Confidential, Heliopolis,Full Time,Experienced,10-12 Yrs of Exp,Cairo,"Mechanical Engineering, HVAC, Revit, Mechanical Technical Office, Microsoft Office, AutoCAD, IS, TO, English"
HR Generalist - 10th of Ramadan City,Confidential, 10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Sharqia,"Recruitment, Personnel, HR, Human Resources"
Brokers - Online Sales Representative,VIGILANCE, Obour City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Females Preferred, Sales Skills, Sales Target, Customer Service, Online Sales, Broker, Sales/Retail"
IT Help Desk Officer,Shiny white dental center, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Males Only, CCNA, MCSA, Computer Maintenance, Software, Information Technology (IT), Computer Science, Office Automation, Help Desk"
Senior Resident Engineer,Confidential, Alexandria,Full Time,Manager,20+ Yrs of Exp,Egypt,"Civil Engineering, Design, Container Terminals, Reclamation, Engineering - Construction/Civil/Architecture, Creative/Design/Art"
Legal Associate,Confidential, Cairo,Full Time,Part Time,1-4 Yrs of Exp,Egypt,"Law, Legal, English, Legal"
Social Media Manager,Raktos, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Content Management, Online Marketing, Social Media Management, Copywriting, Marketing/PR/Advertising, Media/Journalism/Publishing"
Export Sales Specialist,Edu-Fun, 10th of Ramadan City,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Export, English, International Trade, Communication Skills, Negotiation Skills, Presentation Skills, Sales Skills, Logistics, French"
Marketing Specialist,Actrans Lab-Legal, Cairo,Full Time,Part Time,1-7 Yrs of Exp,Egypt,"E-marketing, Social Media Campaigns, Marketing/PR/Advertising, Media/Journalism/Publishing"
Medical Family Planning Technical Training...,John Snow InC, Aswan,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Luxor,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Qena,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Sohag,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Assiut,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Minya,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Beni Suef,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Fayoum,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Medical Family Planning Technical Training...,John Snow InC, Alexandria,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Sales Representative,ComeX Engineering Company, Giza,Full Time,Experienced,5-10 Yrs of Exp,Giza,"Sales Skills, Sales Target, Customer Support, Customer Service, Communication Skills, Sales/Retail"
HR Generalist,BusinessClouds, Cairo,Full Time,Work From Home,1-2 Yrs of Exp,Egypt,"Human Resources (HR), Administration, HR, HR Assistant, Personnel, Employee Relations, Administration, Human Resources"
Senior Accountant,Virtual Worker Now, Cairo,Full Time,Work From Home,3-5 Yrs of Exp,Egypt,"Accounting, Finance, Financial Analysis, Financial Management, Accounting/Finance"
English language Instructor Mokkatam,UCMAS Academy, Cairo,Full Time,Part Time,1-3 Yrs of Exp,Egypt,"3 Vacancies, Teaching, training, languages, education, Phonetics, Education/Teaching, Training/Instructor"
Software Developer,Jubia Smart Solutions, Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Software Development, Information Technology (IT), Computer Science, Software Engineering, Telecom, Angular, .NET, MySQL, Java"
Purchasing Specialist - Maadi,E3mel Business for Financial & Managerial Consultancy, Maadi,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Procurement, Business Administration, Communication Skills, Analysis, Supply Chain, English, Negotiation Skills, Food Industry, Retail"
Personal Assistant,Byoot Bay, Giza,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Back-Office, Communication, MS Office, Business Administration, Secretary, Microsoft Office, ERP, Administration"
Senior Sales Representative,Byoot Bay, Giza,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Females Only, Customer Service, Telesales, English, CRM, Sales Skills, Sales Target, Sales/Retail"
PHP Web Developer,AQARITO, Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"PHP, Computer Science, Software Development, Software Engineering, Laravel, MySQL, APIs, OOP, JSON"
Talent Acquisition Specialist,Odiggo, Maadi,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Human Resources (HR), HR, HR Certificate, English, Personnel, HRMS, ATS, Word, Excel, Labor Law, Talent Acquisition, Hiring"
Telemarketing Agent- UK Account For NATIVE LEVEL...,Easy Projects Egypt, Nasr City,Work From Home,Entry Level,1-4 Yrs of Exp,Cairo,"Telesales, English, Sales Skills, Sales Target, Call Center, Customer Care, Customer Support, Customer Service, Sales/Retail"
Marketing Intern (Lviv - Ukraine),AIESEC - MANSOURA, Lviv,Internship,Entry Level,null Yrs of Exp,Ukraine,"Business Development, Business Planning, English, Content Marketing, Content Creation, Computer Skills, Microsoft Office, Media"
Senior Sales Agent - Real Estate,4 Destination Real Estate, Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"English, Real Estate, Sales Skills, Sales Target, Customer Service/Support, Sales/Retail"
Secretary - Hurghada,Property Hills, Hurghada,Full Time,Entry Level,1-3 Yrs of Exp,Red Sea,"Secretary, Hurghada, Administration, Office Management, English, Administration"
UI/UX Designer,Eduapps, Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"UX, Computer Science, UI / UX, experience, Information Technology (IT), Scrum, Agile, Design, Creative/Design/Art, IT/Software Development"
Experienced/Senior Android Developer (Immediate...,I2M, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Jenkins, Java, Android, Kotlin, Unity3D, Information Technology (IT), SDK, MVC, MVVM, GIT, Jetpack, Testing, E-commerce"
Telesales Agent,Unlimited Technology, Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Females Only, Sales Skills, Telesales, English, Customer Service/Support, Sales/Retail"
Account Manager,Artemis, Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Account Manager, Sales Skills, CRM, Customer Service, Sales Target, Business Administration, Customer Service/Support"
Sales Specialist (Software),Appstact, Sidi Gaber,Full Time,Experienced,2+ Yrs of Exp,Alexandria,"Sales Target, Lead Generation, Selling, Sales/Retail"
"Full Stack Developer (Node JS, React JS, Angular)",Alef Software Company, San Stefano,Full Time,Experienced,3-4 Yrs of Exp,Alexandria,"Software Development, Node.js, Design, CSS, HTML, javaScript, Git, UI, Information Technology (IT), React.js, Angular"
Receptionist,Unicity, New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Females Only, Administration, Office Management, Microsoft Office, Communication Skills, English, Receptionist, Administration"
Customer Service Specialist,Centro Global Solutions, Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Support, Customer Care, Customer Service, Customer Service/Support"
Telesales Representative,El Mansour Development, Mokattam,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Sales Skills, Telesales, Real Estate, Communication, Negotiation, MS Office, CRM, Customer Service, Sales Target, Sales/Retail"
Creative Content Creator,Kandil Egypt, Heliopolis,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Marketing, Editing, Writing, Photography, Graphic, Content, English, Arabic, Writing/Editorial, Marketing/PR/Advertising"
Senior Full Stack Developer,Cashcall, Maadi,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Startup, Information Technology (IT), Telecommunication, Computer Science, Software Development, Software Engineering, Java, Programming"
Personnel Specialist,Ghabbour Auto, Badr City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Human Resources (HR), Human Resources"
Account Manager,"Aria Systems, Inc", Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Customer Service, Customer Care, Customer Support, Client Relationship, Sales, Customer Service/Support, Sales/Retail"
Recruitment & OD Manager,Confidential, Giza,Full Time,Manager,10+ Yrs of Exp,Egypt,"OD, Compensation Program, Personnel, Salary Surveys, Job Descriptions, HR Systems, HR Manager, HR, Recruitment, Interviewing"
React Native Mobile Developer,GCSSD, Heliopolis,Freelance / Project,Experienced,4+ Yrs of Exp,Cairo,"Mobile Development, React Native, iOS, Expo, AWS, javaScript, Node.js, Express.js, Android, GitHub, REST"
Social Media Manager,Virtual Worker Now, Cairo,Full Time,Work From Home,5-7 Yrs of Exp,Egypt,"2 Vacancies, Social Media, E-marketing, Microsoft Office, Business, Computer Skills, English, Journalism, Public Relations"
Physics Research Assistant,Confidential, Cairo,Full Time,Part Time,0-1 Yrs of Exp,Egypt,"Males Preferred, Research, Quantum Mechanics, Quantum Information, Computational Physics, C++, Latex, Linux, Fortran, Python"
Customer Service Agent,Rowaad, Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Customer Care, Customer Service, Customer Support, Call Center, Communication, Negotiation, Industry, Skills, IT/Software Development"
Business Development Manager,Confidential, Mohandessin,Full Time,Manager,3-7 Yrs of Exp,Giza,"Business Development, Sales Skills, B2B Sales, English, Business Development, Sales/Retail"
Senior Accountant,Confidential, Sheikh Zayed,Full Time,Experienced,8-10 Yrs of Exp,Giza,"Accounting, Finance, Financial Analysis, Financial Management, Computer Skills, English, Banking, ERP System, Export"
Mechanical Supervision Engineer,Confidential, Cairo,Freelance / Project,Manager,4+ Yrs of Exp,Egypt,"Project Management, Sites, Construction, Project/Program Management, Engineering - Mechanical/Electrical"
Front End Developer--React,VRapeutic, Abdeen,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Front-End Development, React Native, Information Technology (IT), AWS, RESTful, IT/Software Development"
Sales Accounts Manager (Electrical Power...,UNI Power, 6th of October,Full Time,Experienced,8+ Yrs of Exp,Giza,"Electrical Engineering, DCS, UPS, PV, Data Center, BMS, English, Sales Account Management, Sales Target, Sales/Retail"
Business Development Specialist,Transtec Translation, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Business Development, Sales Target, Localization, English, Business Development, Sales/Retail"
Human Resources Manager,Shehab Co., Mohandessin,Full Time,Manager,10-15 Yrs of Exp,Giza,"HR Management, Recruitment, HR, Human Resources"
Front Desk Receptionist,Reflect Clinics, Heliopolis,Full Time,Entry Level,0-5 Yrs of Exp,Cairo,"Administration, Computer Skills, Front Desk, Microsoft Office, Office Management, Communication, English, Administration"
Electrical Technical Support Engineer,UNI Power, 6th of October,Full Time,Experienced,3-6 Yrs of Exp,Giza,"Electrical Engineering, Communication, BMS, DC, UPS, Microsoft Office, Maintenance, Installation, AutoCAD, 2D"
General Accountant,Confidential, 6th of October,Full Time,Experienced,4-10 Yrs of Exp,Giza,"Financial Analysis, Financial Management, Computer Skills, English, Accounting Software, SAP, MS Office, MS, Commerce, Budgeting"
PHP Backend Developer,Objects, Sidi Gaber,Full Time,Experienced,2+ Yrs of Exp,Alexandria,"javaScript, XML, PHP, Computer Science, Information Technology (IT), Software Engineering, Software Development, jQuery, SOAP"
Senior Graphic Animator,PanExcel, Cairo,Full Time,Manager,3-6 Yrs of Exp,Egypt,"Animation, Adobe Photoshop, Adobe Illustrator, Graphics, UI, UX, Web Development, Mobile Applications, Creative/Design/Art"
Treasury Accountant,Confidential, 6th of October,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Financial Analysis, Cashier, Microsoft Office, Treasury Accounting, Accounting/Finance"
Senior Software Developer Angular 2+,Obeikan Digital Solutions, New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Software Development, Computer Science, Software Engineering, CSS, Agile, Git, Bootstrap, APIs, REST, CI, CD"
Senior Full Stack Developer,PanExcel, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Information Technology (IT), Computer Science, javaScript, Full Stack, Back End, Front End, Database Administration"
Accountant,Confidential, 6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Financial Analysis, Financial Management, English, Communication, MS Office, Accounting/Finance"
.Net Core Developer,Obeikan Digital Solutions, New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), C#, MVC, Angular, HTML, .NET Core, OOP, Git, MSSQL, WebAPI, Engineering"
Senior .Net Core Developer,Obeikan Digital Solutions, New Cairo,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Software Development, Computer Science, Information Technology (IT), C#, MVC, HTML, Angular, OOP, Git, Entity Framework, CSS, Jira"
Social Media Moderator,Virtual Worker Now, Cairo,Full Time,Work From Home,1-3 Yrs of Exp,Egypt,"8 Vacancies, Social Media, E-marketing, Communications, Digital Media, Marketing/PR/Advertising, Media/Journalism/Publishing"
Factory Manager - Coils (Heat Exchangers),Confidential, 6th of October,Full Time,Manager,10+ Yrs of Exp,Giza,"Operations, Production, Manufacturing, Strategic Planning, Plant Management, Air Conditioning, Factory Management"
Software Business Analyst - 6 Months Project,SURE International Technology, Cairo,Full Time,Freelance / Project,3-6 Yrs of Exp,Egypt,"Information Technology (IT), Business Analysis, Computer Science, Visio, Software Analysis, IT/Software Development"
Senior Technical Office Engineer (Furniture &...,Ideal House, 6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Males Only, Furniture, Woodworking, Kitchen Design, Kitchen Drawing, Interior Design, Fine Arts, Engineering, AutoCAD, Sketch-up"
Real Estate Marketing Executive,B2C Real Estate, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Campaigns, Creative, English, Marketing, Marketing/PR/Advertising"
Office Manager,Mega Pharma, Alexandria,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Office Administration, Management Skills, Office Management, Secretary, English, Communication Skills, Medical, Administration"
Branch Manager - Maadi,4level1, Maadi,Full Time,Manager,2-3 Yrs of Exp,Cairo,"Customer Service, Branch Management, Administration, Communication, Retail, Customer Service/Support, Operations/Management, Sales/Retail"
Accounting Manager,Smsm, Shubra,Full Time,Manager,5-8 Yrs of Exp,Cairo,"Finance, Financial Analysis, Retail, Odoo ERP, ERP System, Accounting Management, Accounting/Finance"
Outdoor Sales Representative (B2B) - Furniture,Ideal House, Giza,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Males Only, Sales Skills, Sales Target, English, B2B, Communication, Business Development, Marketing/PR/Advertising, Sales/Retail"
Social Media Specialist,Complete Leather Goods, Sheikh Zayed,Full Time,Experienced,3-10 Yrs of Exp,Giza,"Social Media, Online Marketing, E-marketing, English, Digital Media, Editing, Writing, Writing/Editorial, Marketing/PR/Advertising"
Accountant,Smsm, Shubra,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Finance, Financial Management, Financial Analysis, Commerce, Accounting Software, Microsoft Excel, General Ledger, Reporting"
Senior PHP Developer,GCSSD, Heliopolis,Freelance / Project,Experienced,5+ Yrs of Exp,Cairo,"javaScript, HTML, CSS, jQuery, LAMP, React, MySQL, Information Technology (IT), Software Development, Laravel"
